"","year","length_cm","age","sex","source","faa_area","fleet","project","InModel"
"127",2020,38.8,26,"M","pacfin","north","Commercial","pacfin","Included in base model"
"128",2020,41.2,28,"M","pacfin","north","Commercial","pacfin","Included in base model"
"129",2020,41.9,42,"M","pacfin","north","Commercial","pacfin","Included in base model"
"130",2020,50,29,"F","pacfin","north","Commercial","pacfin","Included in base model"
"131",2020,39.5,24,"M","pacfin","north","Commercial","pacfin","Included in base model"
"132",2020,43.2,35,"F","pacfin","north","Commercial","pacfin","Included in base model"
"133",2020,43,40,"M","pacfin","north","Commercial","pacfin","Included in base model"
"134",2020,40.5,24,"F","pacfin","north","Commercial","pacfin","Included in base model"
"135",2020,39.8,23,"F","pacfin","north","Commercial","pacfin","Included in base model"
"136",2020,39.1,15,"M","pacfin","north","Commercial","pacfin","Included in base model"
"137",2020,41.1,27,"M","pacfin","north","Commercial","pacfin","Included in base model"
"138",2020,42.4,28,"F","pacfin","north","Commercial","pacfin","Included in base model"
"139",2020,42.1,26,"M","pacfin","north","Commercial","pacfin","Included in base model"
"140",2020,43.6,36,"M","pacfin","north","Commercial","pacfin","Included in base model"
"141",2020,41.4,33,"M","pacfin","north","Commercial","pacfin","Included in base model"
"142",2020,41.5,45,"M","pacfin","north","Commercial","pacfin","Included in base model"
"143",2020,42,32,"F","pacfin","north","Commercial","pacfin","Included in base model"
"144",2020,39.6,17,"M","pacfin","north","Commercial","pacfin","Included in base model"
"145",2020,40.4,32,"F","pacfin","north","Commercial","pacfin","Included in base model"
"146",2020,43.2,28,"M","pacfin","north","Commercial","pacfin","Included in base model"
"147",2020,43.3,22,"F","pacfin","north","Commercial","pacfin","Included in base model"
"148",2020,39.5,27,"F","pacfin","north","Commercial","pacfin","Included in base model"
"149",2020,44,29,"F","pacfin","north","Commercial","pacfin","Included in base model"
"150",2020,39,18,"F","pacfin","north","Commercial","pacfin","Included in base model"
"151",2020,45.5,27,"M","pacfin","north","Commercial","pacfin","Included in base model"
"152",2020,38.5,9,"M","pacfin","north","Commercial","pacfin","Included in base model"
"153",2020,44.5,21,"F","pacfin","north","Commercial","pacfin","Included in base model"
"154",2020,39.3,26,"M","pacfin","north","Commercial","pacfin","Included in base model"
"155",2020,46.4,22,"M","pacfin","north","Commercial","pacfin","Included in base model"
"156",2020,44.4,19,"M","pacfin","north","Commercial","pacfin","Included in base model"
"157",2020,42.5,41,"F","pacfin","north","Commercial","pacfin","Included in base model"
"158",2020,40.5,27,"F","pacfin","north","Commercial","pacfin","Included in base model"
"159",2020,48.2,36,"F","pacfin","north","Commercial","pacfin","Included in base model"
"160",2020,39.8,27,"F","pacfin","north","Commercial","pacfin","Included in base model"
"161",2020,42.1,26,"M","pacfin","north","Commercial","pacfin","Included in base model"
"162",2020,41.5,45,"M","pacfin","north","Commercial","pacfin","Included in base model"
"163",2020,40.9,28,"M","pacfin","north","Commercial","pacfin","Included in base model"
"164",2020,37.5,19,"M","pacfin","north","Commercial","pacfin","Included in base model"
"165",2020,41.5,22,"F","pacfin","north","Commercial","pacfin","Included in base model"
"166",2020,35.3,11,"M","pacfin","north","Commercial","pacfin","Included in base model"
"167",2020,48,30,"M","pacfin","north","Commercial","pacfin","Included in base model"
"168",2020,39.8,26,"M","pacfin","north","Commercial","pacfin","Included in base model"
"169",2020,40.8,34,"F","pacfin","north","Commercial","pacfin","Included in base model"
"170",2020,41.1,25,"F","pacfin","north","Commercial","pacfin","Included in base model"
"171",2020,42.1,17,"M","pacfin","north","Commercial","pacfin","Included in base model"
"172",2020,41.7,24,"F","pacfin","north","Commercial","pacfin","Included in base model"
"173",2020,46.5,27,"M","pacfin","north","Commercial","pacfin","Included in base model"
"174",2020,44.2,36,"F","pacfin","north","Commercial","pacfin","Included in base model"
"175",2020,42.3,27,"F","pacfin","north","Commercial","pacfin","Included in base model"
"176",2020,40.3,26,"M","pacfin","north","Commercial","pacfin","Included in base model"
"177",2020,40,25,"M","pacfin","north","Commercial","pacfin","Included in base model"
"178",2020,39.5,9,"F","pacfin","north","Commercial","pacfin","Included in base model"
"179",2021,40.7,21,"M","pacfin","north","Commercial","pacfin","Included in base model"
"180",2021,26.1,4,"M","pacfin","north","Commercial","pacfin","Included in base model"
"181",2021,42.9,27,"M","pacfin","north","Commercial","pacfin","Included in base model"
"182",2021,45.2,24,"F","pacfin","north","Commercial","pacfin","Included in base model"
"183",2020,39.8,22,"M","pacfin","north","Commercial","pacfin","Included in base model"
"184",2021,40.7,18,"M","pacfin","north","Commercial","pacfin","Included in base model"
"185",2021,44,24,"M","pacfin","north","Commercial","pacfin","Included in base model"
"186",2021,37.5,10,"M","pacfin","north","Commercial","pacfin","Included in base model"
"187",2021,42,30,"M","pacfin","north","Commercial","pacfin","Included in base model"
"188",2021,37.6,11,"F","pacfin","north","Commercial","pacfin","Included in base model"
"189",2021,39,19,"F","pacfin","north","Commercial","pacfin","Included in base model"
"190",2021,34.3,11,"F","pacfin","north","Commercial","pacfin","Included in base model"
"191",2021,36.4,18,"F","pacfin","north","Commercial","pacfin","Included in base model"
"192",2020,40,26,"F","pacfin","north","Commercial","pacfin","Included in base model"
"193",2021,45,27,"F","pacfin","north","Commercial","pacfin","Included in base model"
"194",2021,43,27,"F","pacfin","north","Commercial","pacfin","Included in base model"
"195",2021,40.9,22,"M","pacfin","north","Commercial","pacfin","Included in base model"
"196",2021,42.7,25,"F","pacfin","north","Commercial","pacfin","Included in base model"
"197",2021,43.4,30,"M","pacfin","north","Commercial","pacfin","Included in base model"
"198",2021,47.1,17,"F","pacfin","north","Commercial","pacfin","Included in base model"
"199",2021,38.5,22,"F","pacfin","north","Commercial","pacfin","Included in base model"
"200",2021,49,32,"F","pacfin","north","Commercial","pacfin","Included in base model"
"201",2021,40.4,18,"M","pacfin","north","Commercial","pacfin","Included in base model"
"202",2021,41.5,22,"M","pacfin","north","Commercial","pacfin","Included in base model"
"203",2021,41.8,21,"F","pacfin","north","Commercial","pacfin","Included in base model"
"204",2021,38.9,12,"M","pacfin","north","Commercial","pacfin","Included in base model"
"205",2021,34.4,8,"F","pacfin","north","Commercial","pacfin","Included in base model"
"206",2021,39.6,14,"M","pacfin","north","Commercial","pacfin","Included in base model"
"207",2021,45.5,26,"F","pacfin","north","Commercial","pacfin","Included in base model"
"208",2021,39.3,9,"F","pacfin","north","Commercial","pacfin","Included in base model"
"209",2021,43.3,24,"F","pacfin","north","Commercial","pacfin","Included in base model"
"210",2021,44,20,"F","pacfin","north","Commercial","pacfin","Included in base model"
"211",2021,42.9,28,"M","pacfin","north","Commercial","pacfin","Included in base model"
"212",2021,41.8,26,"M","pacfin","north","Commercial","pacfin","Included in base model"
"213",2022,44,27,"F","pacfin","north","Commercial","pacfin","Included in base model"
"214",2022,42.1,10,"M","pacfin","north","Commercial","pacfin","Included in base model"
"215",2022,38.3,10,"M","pacfin","north","Commercial","pacfin","Included in base model"
"216",2022,34,6,"F","pacfin","north","Commercial","pacfin","Included in base model"
"217",2022,43,16,"M","pacfin","north","Commercial","pacfin","Included in base model"
"218",2022,38,22,"M","pacfin","north","Commercial","pacfin","Included in base model"
"219",2022,35,11,"F","pacfin","north","Commercial","pacfin","Included in base model"
"220",2022,27,5,"M","pacfin","north","Commercial","pacfin","Included in base model"
"221",2022,34.8,10,"F","pacfin","north","Commercial","pacfin","Included in base model"
"222",2022,36.2,9,"F","pacfin","north","Commercial","pacfin","Included in base model"
"223",2022,35.4,9,"F","pacfin","north","Commercial","pacfin","Included in base model"
"224",2022,31,9,"M","pacfin","north","Commercial","pacfin","Included in base model"
"225",2022,38.9,10,"M","pacfin","north","Commercial","pacfin","Included in base model"
"226",2022,41.8,29,"F","pacfin","north","Commercial","pacfin","Included in base model"
"227",2022,42.1,30,"M","pacfin","north","Commercial","pacfin","Included in base model"
"228",2022,34,9,"M","pacfin","north","Commercial","pacfin","Included in base model"
"229",2022,38.1,24,"M","pacfin","north","Commercial","pacfin","Included in base model"
"230",2022,39.3,38,"M","pacfin","north","Commercial","pacfin","Included in base model"
"231",2022,35.5,10,"F","pacfin","north","Commercial","pacfin","Included in base model"
"232",2022,43.3,28,"F","pacfin","north","Commercial","pacfin","Included in base model"
"233",2022,40.5,28,"F","pacfin","north","Commercial","pacfin","Included in base model"
"234",2022,41.3,31,"M","pacfin","north","Commercial","pacfin","Included in base model"
"235",2022,39.6,17,"M","pacfin","north","Commercial","pacfin","Included in base model"
"236",2022,40.2,18,"M","pacfin","north","Commercial","pacfin","Included in base model"
"237",2022,40.7,25,"F","pacfin","north","Commercial","pacfin","Included in base model"
"238",2022,38.3,15,"M","pacfin","north","Commercial","pacfin","Included in base model"
"239",2022,40.6,20,"F","pacfin","north","Commercial","pacfin","Included in base model"
"240",2022,39,19,"M","pacfin","north","Commercial","pacfin","Included in base model"
"241",2022,48.4,19,"F","pacfin","north","Commercial","pacfin","Included in base model"
"242",2022,40.3,10,"M","pacfin","north","Commercial","pacfin","Included in base model"
"243",2022,40.3,10,"M","pacfin","north","Commercial","pacfin","Included in base model"
"244",2022,39.5,28,"M","pacfin","north","Commercial","pacfin","Included in base model"
"245",2022,40.8,29,"F","pacfin","north","Commercial","pacfin","Included in base model"
"246",2022,32.7,12,"M","pacfin","north","Commercial","pacfin","Included in base model"
"247",2022,33.8,15,"M","pacfin","north","Commercial","pacfin","Included in base model"
"248",2022,41.3,28,"F","pacfin","north","Commercial","pacfin","Included in base model"
"249",2022,37.7,17,"F","pacfin","north","Commercial","pacfin","Included in base model"
"250",2022,35,10,"F","pacfin","north","Commercial","pacfin","Included in base model"
"251",2022,33,12,"F","pacfin","north","Commercial","pacfin","Included in base model"
"252",2022,35.5,12,"M","pacfin","north","Commercial","pacfin","Included in base model"
"253",2022,45,19,"M","pacfin","north","Commercial","pacfin","Included in base model"
"254",2022,46,20,"F","pacfin","north","Commercial","pacfin","Included in base model"
"255",2022,42.5,26,"M","pacfin","north","Commercial","pacfin","Included in base model"
"256",2022,37.5,10,"F","pacfin","north","Commercial","pacfin","Included in base model"
