"Year","length_cm","weight_kg","sex","area","mode","disp","source","SOURCE_CODE"
2005,369,1.5,"U","Redwood","PR","RETAINED","recfin","BIO"
2005,406,1.2,"U","Redwood","PR","RETAINED","recfin","BIO"
2005,328,NA,"U","Bay","PR","RETAINED","recfin","BIO"
2005,528,1.7,"U","Redwood","PR","RETAINED","recfin","BIO"
2005,321,NA,"U","Bay","PR","RETAINED","recfin","BIO"
2005,345,NA,"U","Bay","PR","RETAINED","recfin","BIO"
2005,380,NA,"U","Bay","PR","RETAINED","recfin","BIO"
2005,301,NA,"U","Bay","PR","RETAINED","recfin","BIO"
2005,315,NA,"U","Bay","PR","RETAINED","recfin","BIO"
2005,360,NA,"U","Bay","PC","RETAINED","recfin","BIO"
2005,355,NA,"U","Bay","PC","RETAINED","recfin","BIO"
2005,334,0.6,"U","Bay","PR","RETAINED","recfin","BIO"
2005,420,1.25,"U","Central","PR","RETAINED","recfin","BIO"
2005,346,NA,"U","Bay","PC","RETAINED","recfin","BIO"
2005,359,NA,"U","Bay","PC","RETAINED","recfin","BIO"
2005,304,NA,"U","Bay","PC","RETAINED","recfin","BIO"
2005,358,NA,"U","Redwood","PR","RETAINED","recfin","BIO"
2005,381,NA,"U","Redwood","PR","RETAINED","recfin","BIO"
2005,453,1.8,"U","Redwood","PR","RETAINED","recfin","BIO"
2005,303,NA,"U","Bay","PR","RETAINED","recfin","BIO"
2005,349,0.72,"U","Bay","PR","RETAINED","recfin","BIO"
2005,348,NA,"U","Bay","PR","RETAINED","recfin","BIO"
2005,412,NA,"U","Redwood","PR","RETAINED","recfin","BIO"
2005,376,1.2,"U","Bay","PR","RETAINED","recfin","BIO"
2005,417,1.6,"U","Redwood","PC","RETAINED","recfin","BIO"
2005,374,1.1,"U","Redwood","PR","RETAINED","recfin","BIO"
2005,437,NA,"U","Redwood","PR","RETAINED","recfin","BIO"
2005,394,1.3,"U","Redwood","PR","RETAINED","recfin","BIO"
2005,383,1,"U","Redwood","PR","RETAINED","recfin","BIO"
2005,369,0.9,"U","Redwood","PR","RETAINED","recfin","BIO"
2005,335,NA,"U","Bay","PR","RETAINED","recfin","BIO"
2005,358,NA,"U","Redwood","PR","RETAINED","recfin","BIO"
2005,294,NA,"U","Bay","PR","RETAINED","recfin","BIO"
2005,340,NA,"U","Bay","PC","RETAINED","recfin","BIO"
2005,380,NA,"U","Redwood","PR","RETAINED","recfin","BIO"
2005,392,NA,"U","Redwood","PR","RETAINED","recfin","BIO"
2005,335,0.9,"U","Wine","PR","RETAINED","recfin","BIO"
2005,368,0.9,"U","Redwood","PR","RETAINED","recfin","BIO"
2005,445,NA,"U","Redwood","PR","RETAINED","recfin","BIO"
2005,438,NA,"U","Redwood","PR","RETAINED","recfin","BIO"
2005,355,NA,"U","Bay","PR","RETAINED","recfin","BIO"
2005,355,0.98,"U","Bay","PR","RETAINED","recfin","BIO"
2005,380,1.2,"U","Redwood","PC","RETAINED","recfin","BIO"
2005,322,NA,"U","Redwood","PR","RETAINED","recfin","BIO"
2005,439,NA,"U","Redwood","PR","RETAINED","recfin","BIO"
2005,341,NA,"U","Redwood","PR","RETAINED","recfin","BIO"
2005,410,1.5,"U","Redwood","PR","RETAINED","recfin","BIO"
2005,370,NA,"U","Redwood","PR","RETAINED","recfin","BIO"
2005,349,NA,"U","Bay","PR","RETAINED","recfin","BIO"
2005,332,NA,"U","Redwood","PR","RETAINED","recfin","BIO"
2005,419,NA,"U","Redwood","PR","RETAINED","recfin","BIO"
2005,449,NA,"U","Redwood","PR","RETAINED","recfin","BIO"
2005,525,1.6,"U","Redwood","PR","RETAINED","recfin","BIO"
2005,468,1,"U","Redwood","PR","RETAINED","recfin","BIO"
2005,291,NA,"U","Redwood","PR","RETAINED","recfin","BIO"
2005,410,1.5,"U","Redwood","PR","RETAINED","recfin","BIO"
2005,304,0.4,"U","Redwood","PR","RETAINED","recfin","BIO"
2005,286,NA,"U","Bay","PR","RETAINED","recfin","BIO"
2005,388,NA,"U","Redwood","PR","RETAINED","recfin","BIO"
2005,514,2.4,"U","Redwood","PR","RETAINED","recfin","BIO"
2005,328,NA,"U","Bay","PR","RETAINED","recfin","BIO"
2005,279,NA,"U","Bay","PC","RETAINED","recfin","BIO"
2005,322,NA,"U","Bay","PC","RETAINED","recfin","BIO"
2005,356,NA,"U","Bay","PC","RETAINED","recfin","BIO"
2005,348,0.77,"U","Bay","PR","RETAINED","recfin","BIO"
2005,379,1,"U","Redwood","PR","RETAINED","recfin","BIO"
2005,371,1.25,"U","Redwood","PR","RETAINED","recfin","BIO"
2005,316,NA,"U","Redwood","PR","RETAINED","recfin","BIO"
