"sector","year","grouped_sector","Tot_Dead","Discard","Dead_Discard","Landings","dis_mort_prop"
"Nearshore",2012,"ca_comm",1.605,0.007,0.005,1.6,0.003
"Nearshore",2013,"ca_comm",0.674,0.01,0.004,0.67,0.006
"Nearshore",2014,"ca_comm",0.448,0,0,0.448,0
"Nearshore",2015,"ca_comm",1.086,0,0,1.086,0
"Nearshore",2016,"ca_comm",0.964,0.001,0,0.964,0
"Nearshore",2017,"ca_comm",1.739,0.009,0.004,1.735,0.002
"Nearshore",2018,"ca_comm",2.523,0.013,0.005,2.517,0.002
"Nearshore",2019,"ca_comm",3.588,0.009,0.006,3.582,0.002
"Nearshore",2020,"ca_comm",4.022,0.017,0.007,4.015,0.002
"Nearshore",2021,"ca_comm",4.735,0.047,0.025,4.71,0.005
"Nearshore",2022,"ca_comm",1.817,1.309,0.539,1.277,0.297
"Nearshore",2023,"ca_comm",0.893,0.73,0.358,0.535,0.401
"OA CA Halibut",2017,"ca_comm",0.002,0.002,0.002,0,1
"OA Fixed Gear - Hook & Line",2006,"ca_comm",0.041,0,0,0.041,0
"OA Fixed Gear - Hook & Line",2007,"ca_comm",0.249,0,0,0.249,0
"OA Fixed Gear - Hook & Line",2008,"ca_comm",0.043,0,0,0.043,0
"OA Fixed Gear - Hook & Line",2009,"ca_comm",0.084,0.082,0.082,0.001,0.976
"OA Fixed Gear - Hook & Line",2010,"ca_comm",0.013,0,0,0.013,0
"OA Fixed Gear - Hook & Line",2015,"ca_comm",0.006,0,0,0.006,0
"OA Fixed Gear - Hook & Line",2016,"ca_comm",0.019,0.019,0.019,0,1
"OA Fixed Gear - Hook & Line",2017,"ca_comm",0.011,0.011,0.011,0,1
"OA Fixed Gear - Hook & Line",2018,"ca_comm",0.011,0,0,0.011,0
"OA Fixed Gear - Hook & Line",2020,"ca_comm",0.122,0,0,0.122,0
"OA Fixed Gear - Hook & Line",2022,"ca_comm",6.87,6.87,6.87,0,1
"OA Fixed Gear - Hook & Line",2023,"ca_comm",1.298,1.298,1.298,0,1
"OA Fixed Gear - Pot",2009,"ca_comm",0.001,0,0,0.001,0
"Pink Shrimp",2019,"ca_comm",0,0,0,0,NA
"Shoreside Hake",2002,"ca_comm",0.003,0,0,0.003,0
